modello,indice,func_name,stato,finish_reason,secondi,sintassi_valida,n_test,import_ok,numero_ok,nomi_ok,assert_ok,oracolo_ok,formato_ok
3b,74,look_up_latest_epoch,scritto,stop,50.9,True,7,True,True,True,True,True,True
3b,75,find_adjacent_product,scritto,stop,37.8,True,7,True,True,True,True,True,True
3b,76,convert_location_to_pitch,scritto,stop,43.9,True,7,True,True,True,True,True,True
3b,77,oracle2numpy,scritto,stop,28.0,True,7,True,True,True,True,True,True
3b,78,turn_sequence,scritto,stop,21.8,True,7,True,True,True,True,True,True
3b,79,count_leading_digits_var2,scritto,stop,38.1,True,7,True,True,True,True,True,True
3b,80,calculate_circular_pile_set_positions,scritto,stop,54.6,True,7,True,True,True,False,True,False
3b,81,maximal_mesh_pattern_of_occurrence,scritto,stop,34.9,True,7,True,True,True,True,True,True
3b,82,process_lines_for_spell,scritto,stop,41.1,True,7,True,True,True,True,True,True
3b,83,crosscount,scritto,stop,29.5,True,7,True,True,True,True,True,True
3b,84,checkFormulas,scritto,stop,30.5,True,7,True,True,True,True,True,True
3b,85,bound_line_in_box,scritto,stop,57.2,True,7,True,True,True,False,True,False
3b,86,change_display,scritto,stop,29.4,True,8,True,True,True,True,True,True
3b,87,oligo_complements,scritto,stop,21.7,True,7,True,True,True,False,True,False
3b,88,get_text_point_at_line,scritto,stop,38.8,True,8,True,True,True,True,True,True
3b,89,bin_search_range,scritto,stop,50.4,True,8,True,True,True,True,True,True
3b,90,descartes,scritto,stop,36.6,True,7,True,True,True,True,True,True
3b,91,row_revile_indexes,scritto,stop,39.2,True,7,True,True,True,True,True,True
3b,92,usage_bound,scritto,stop,38.4,True,7,True,True,True,True,True,True
3b,93,define_neighbours,scritto,stop,45.9,True,7,True,True,True,True,True,True
3b,94,_get_barchart_sizings,scritto,stop,47.0,True,8,True,True,True,False,True,False
3b,95,flag_meaning,scritto,stop,80.2,True,7,True,True,True,True,True,True
3b,96,coord_finder,scritto,stop,23.6,True,7,True,True,True,True,True,True
3b,97,__transform_coors,scritto,stop,35.6,True,7,True,True,True,True,True,True
3b,98,lumen_type,scritto,stop,26.6,True,7,True,True,True,True,True,True
3b,99,judge_1d100_with_7_ver,scritto,stop,36.8,True,7,True,True,True,True,True,True
8b,0,is_degree_in_degree_range,scritto,stop,28.8,True,6,True,True,True,True,True,True
8b,1,BinaryFromFraction,scritto,stop,78.6,True,7,True,True,True,True,True,True
8b,2,fix_labels,scritto,stop,78.4,True,7,True,True,True,True,True,True
8b,3,x0x1_after_extraction,scritto,stop,48.9,True,6,True,True,True,True,True,True
8b,4,_remove_strings,scritto,stop,40.8,True,7,True,True,True,True,True,True
8b,5,can_blas,scritto,stop,68.2,True,6,True,True,True,True,True,True
8b,6,deg2HMS,scritto,stop,55.3,True,8,True,True,True,True,True,True
8b,7,single_defcom_extract,scritto,stop,69.4,True,6,True,True,True,True,True,True
8b,8,get_allen_relation,scritto,stop,50.1,True,7,True,True,True,True,True,True
8b,9,point_box_relation,scritto,stop,65.1,True,6,True,True,True,True,True,True
8b,10,uoc_railfence_encrypt,scritto,stop,72.8,True,7,True,True,True,True,True,True
8b,11,create_three_random_v_indices,scritto,stop,108.1,True,8,True,True,True,True,True,True
8b,12,diffsents,scritto,stop,59.1,True,6,True,True,True,True,True,True
8b,13,replacement_template,scritto,stop,55.9,True,7,True,True,True,True,True,True
8b,14,needleman_wunsch0,scritto,stop,87.3,True,7,True,True,True,True,True,True
8b,15,knapsack_indv,scritto,stop,94.3,True,8,True,True,True,True,True,True
8b,16,next_holiday,scritto,stop,120.9,True,7,True,True,True,True,True,True
8b,17,calc_query_pos_from_cigar,scritto,stop,72.9,True,7,True,True,True,True,True,True
8b,18,get_processor_types_from_config_class,scritto,stop,75.9,True,8,True,True,True,True,True,True
8b,19,maximal_matching_pairs,scritto,stop,75.8,True,7,True,True,True,True,True,True
8b,20,lflverify,scritto,stop,63.4,True,7,True,True,True,True,True,True
8b,21,longestNonWildcardSubsequence,scritto,stop,92.7,True,8,True,True,True,True,True,True
8b,22,windows_k_distinct,scritto,stop,68.2,True,5,True,True,True,True,True,True
8b,23,string_contrast,scritto,stop,60.3,True,5,True,True,True,True,True,True
8b,24,max_rewards,scritto,stop,57.1,True,6,True,True,True,True,True,True
8b,25,circle_line_segment_intersection,scritto,stop,80.4,True,7,True,True,True,True,True,True
8b,26,initiate_board,scritto,stop,55.4,True,8,True,True,True,True,True,True
8b,27,move_gain,scritto,stop,152.3,True,8,True,True,True,True,True,True
8b,28,time_in_swiss_german,scritto,stop,63.3,True,7,True,True,True,True,True,True
8b,29,columnTransCipher,scritto,stop,95.3,True,8,True,True,True,True,True,True
8b,30,compute_convolution_output_dimensions,scritto,stop,62.7,True,7,True,True,True,True,True,True
8b,31,get_trackletpair_t_range,scritto,stop,180.1,True,8,True,True,True,True,True,True
8b,32,get_bw_weight,scritto,stop,115.3,True,8,True,True,True,True,True,True
8b,33,coordinate_sorter,scritto,stop,58.9,True,6,True,True,True,True,True,True
8b,34,get_past_goal_indices,scritto,stop,77.7,True,7,True,True,True,True,True,True
8b,35,_normalized_vcf,scritto,stop,74.1,True,6,True,True,True,False,True,False
8b,36,categorizeSentimentcomplex,scritto,stop,64.5,True,7,True,True,True,True,True,True
8b,37,uniformate2,scritto,stop,85.5,True,8,True,True,True,True,True,True
8b,38,wordparamcheck,scritto,stop,92.9,True,7,True,True,True,True,True,True
8b,39,splitIA2Attribs,scritto,stop,101.0,True,7,True,True,True,True,True,True
8b,40,decode_address_entry,scritto,stop,112.5,True,8,True,True,True,True,True,True
8b,41,make_similar,scritto,stop,53.5,True,6,True,True,True,True,True,True
8b,42,generateResultTree,scritto,length,185.5,False,,,,,,,
8b,43,identify_distance_type,scritto,stop,82.1,True,8,True,True,True,True,True,True
8b,44,score_calculation_base,scritto,stop,138.6,True,8,True,True,True,True,True,True
8b,45,min_edit_script,scritto,stop,62.8,True,8,True,True,True,True,True,True
8b,46,common_conv2d_pool_output_shape,scritto,stop,156.9,True,8,True,True,True,True,True,True
8b,47,featurize_finance,scritto,stop,76.8,True,7,True,True,True,True,True,True
8b,48,tmux_format,scritto,stop,66.2,True,6,True,True,True,True,True,True
8b,49,next_point_in_8_neigh,scritto,stop,73.0,True,7,True,True,True,True,True,True
8b,50,cal_overlap_neg_strand,scritto,stop,56.3,True,7,True,True,True,True,True,True
8b,51,find_repeat,scritto,stop,89.2,True,8,True,True,True,True,True,True
8b,52,get_next_queen_recursion_coordinates,scritto,stop,113.9,True,8,True,True,True,True,True,True
8b,53,calc_num_weights3,scritto,stop,56.8,True,7,True,True,True,True,True,True
8b,54,get_intersect_point,scritto,stop,103.5,True,8,True,True,True,True,True,True
8b,55,check_dead_corner,scritto,stop,69.3,True,6,True,True,True,True,True,True
8b,56,formatTime,scritto,stop,52.9,True,6,True,True,True,True,True,True
8b,57,fileNamer,scritto,stop,70.9,True,7,True,True,True,True,True,True
8b,58,detect_side,scritto,stop,91.0,True,6,True,True,True,True,True,True
8b,59,circle_line_intersection,scritto,stop,74.7,True,7,True,True,True,True,True,True
8b,60,fire_gun,scritto,length,165.0,False,,,,,,,
8b,61,rollDie,scritto,stop,95.0,True,10,True,False,True,True,True,False
8b,62,idx_for_diag_se_from_tr,scritto,stop,123.8,True,7,True,True,True,True,True,True
8b,63,idx_for_diag_se_from_bl,scritto,stop,105.8,True,8,True,True,True,True,True,True
8b,64,remove_chars,scritto,stop,41.3,True,7,True,True,True,True,True,True
8b,65,cigar_prefix_length,scritto,stop,62.6,True,8,True,True,True,True,True,True
8b,66,get_segment_directions,scritto,stop,72.5,True,8,True,True,True,True,True,True
8b,67,max2GetIdx,scritto,stop,90.9,True,8,True,True,True,True,True,True
8b,68,getYAxisMinMaxGC,scritto,stop,95.3,True,8,True,True,True,True,True,True
8b,69,calculate_possibility,scritto,stop,111.4,True,8,True,True,True,True,True,True
8b,70,iterative_levenshtein,scritto,stop,125.7,True,8,True,True,True,True,True,True
8b,71,centre_on_peak,scritto,stop,81.5,True,7,True,True,True,True,True,True
8b,72,locate_alignment,scritto,stop,62.1,True,6,True,True,True,True,True,True
8b,73,smooth_param,scritto,stop,69.0,True,7,True,True,True,False,True,False
8b,74,look_up_latest_epoch,scritto,stop,144.3,True,8,True,True,True,True,True,True
8b,75,find_adjacent_product,scritto,length,173.8,False,,,,,,,
8b,76,convert_location_to_pitch,scritto,stop,81.1,True,7,True,True,True,True,True,True
8b,77,oracle2numpy,scritto,stop,64.8,True,7,True,True,True,True,True,True
8b,78,turn_sequence,scritto,stop,43.7,True,6,True,True,True,True,True,True
8b,79,count_leading_digits_var2,scritto,stop,86.9,True,7,True,True,True,True,True,True
8b,80,calculate_circular_pile_set_positions,scritto,length,192.4,False,,,,,,,
8b,81,maximal_mesh_pattern_of_occurrence,scritto,stop,75.4,True,6,True,True,True,True,True,True
8b,82,process_lines_for_spell,scritto,stop,147.8,True,8,True,True,True,True,True,True
8b,83,crosscount,scritto,length,168.9,False,,,,,,,
8b,84,checkFormulas,scritto,stop,86.5,True,8,True,True,True,True,True,True
8b,85,bound_line_in_box,scritto,stop,174.4,True,8,True,True,True,True,True,True
8b,86,change_display,scritto,stop,72.4,True,8,True,True,True,True,True,True
8b,87,oligo_complements,scritto,stop,44.0,True,6,True,True,True,True,True,True
8b,88,get_text_point_at_line,scritto,length,172.0,False,,,,,,,
8b,89,bin_search_range,scritto,stop,101.2,True,8,True,True,True,True,True,True
8b,90,descartes,scritto,stop,74.0,True,6,True,True,True,True,True,True
8b,91,row_revile_indexes,scritto,stop,76.1,True,7,True,True,True,True,True,True
8b,92,usage_bound,scritto,stop,88.7,True,8,True,True,True,True,True,True
8b,93,define_neighbours,scritto,stop,155.1,True,8,True,True,True,True,True,True
8b,94,_get_barchart_sizings,scritto,stop,125.4,True,8,True,True,True,True,True,True
8b,95,flag_meaning,scritto,stop,136.0,True,7,True,True,True,True,True,True
8b,96,coord_finder,scritto,stop,43.5,True,6,True,True,True,True,True,True
8b,97,__transform_coors,scritto,stop,118.8,True,8,True,True,True,True,True,True
8b,98,lumen_type,scritto,stop,148.8,True,8,True,True,True,True,True,True
8b,99,judge_1d100_with_7_ver,scritto,stop,88.0,True,7,True,True,True,True,True,True
